,Unnamed: 0,0,1,2,Venue,Opened,Info,Also known as,Closed,Open,address_freq,inconsistent,venue_freq,address_prompt,location,point,latitude,longitude,altitude,address_prompt2,location2,point2,latitude2,longitude2,altitude2,is_problem,Lat,Long,Side of River
123,123,,,,"Croydon Park, Melbourne, Australia",,,,,,,,10,"Croydon Park, Melbourne, Australia","Croydon Park, Croydon Town Square, Croydon, Melbourne, City of Maroondah, Victoria, Australia","(-37.797481700000006, 145.28421059032496, 0.0)",-37.7974817,145.2842106,0,"Croydon Park, Melbourne, Australia","Croydon Park, Croydon Town Square, Croydon, Melbourne, City of Maroondah, Victoria, Australia","(-37.797481700000006, 145.28421059032496, 0.0)",-37.7974817,145.2842106,0,Same match for venue and address.,,,
222,222,335 Dorset Rd,Croydon VIC 3136,Australia,"Dorset Gardens Hotel, Melbourne, Australia",,,,,,1,,16,335 Dorset Rd Croydon VIC 3136 Australia,"Dorset Road, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia","(-37.7868104, 145.2923948, 0.0)",-37.7868104,145.2923948,0,"Dorset Gardens Hotel, Melbourne, Australia","Dorset Gardens Hotel, Bayswater-Lilydale Trail, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia","(-37.8032184, 145.2906646, 0.0)",-37.8032184,145.2906646,0,Address match and venue match found but they conflict. Choose the most accurate.,,,
198,198,,,,"Ferntree Gully Hotel, Melbourne, Australia",,,Lower Ferntree Gully,,,,,165,"Ferntree Gully Hotel, Melbourne, Australia","Ferntree Gully Hotel, 1130, Burwood Highway, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia","(-37.889260050000004, 145.2972208498191, 0.0)",-37.88926005,145.2972208,0,"Ferntree Gully Hotel, Melbourne, Australia","Ferntree Gully Hotel, 1130, Burwood Highway, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia","(-37.889260050000004, 145.2972208498191, 0.0)",-37.88926005,145.2972208,0,Same match for venue and address.,,,
265,265,27 High St,Berwick VIC 3806,Australia,"Lava Lounge, Melbourne, Australia",,,,,,1,,10,27 High St Berwick VIC 3806 Australia,"Westpac, 25-27, High Street, Berwick, Melbourne, City of Casey, Victoria, 3806, Australia","(-38.0308766, 145.3459918, 0.0)",-38.0308766,145.3459918,0,"Lava Lounge, Melbourne, Australia","Cafe Restaurant & Lava Lounge, High Street, Berwick, Melbourne, City of Casey, Victoria, 3806, Australia","(-38.0308694, 145.3456819, 0.0)",-38.0308694,145.3456819,0,Address match and venue match found but they conflict. Choose the most accurate.,,,
2,2,1648 Burwood Hwy,Belgrave VIC 3160,Australia,"Sooki Lounge, Melbourne, Australia",,,,,,1,,107,1648 Burwood Hwy Belgrave VIC 3160 Australia,"Sooki Lounge, 1648, Burwood Highway, Belgrave, Melbourne, Shire of Yarra Ranges, Victoria, 3160, Australia","(-37.9100746, 145.35345070507591, 0.0)",-37.9100746,145.3534507,0,"Sooki Lounge, Melbourne, Australia","Sooki Lounge, 1648, Burwood Highway, Belgrave, Melbourne, Shire of Yarra Ranges, Victoria, 3160, Australia","(-37.9100746, 145.35345070507591, 0.0)",-37.9100746,145.3534507,0,Same match for venue and address.,,,
76,76,138 York Rd,Mount Evelyn VIC 3796,Australia,"York on Lilydale, Melbourne, Australia",,,,,,1,,45,138 York Rd Mount Evelyn VIC 3796 Australia,"York on Lilydale, 138, York Road, Mount Evelyn, Melbourne, Shire of Yarra Ranges, Victoria, 3796, Australia","(-37.7957173, 145.3608012, 0.0)",-37.7957173,145.3608012,0,"York on Lilydale, Melbourne, Australia","York on Lilydale, 138, York Road, Mount Evelyn, Melbourne, Shire of Yarra Ranges, Victoria, 3796, Australia","(-37.7957173, 145.3608012, 0.0)",-37.7957173,145.3608012,0,Same match for venue and address.,,,
59,59,,,,"Cardinia Cultural Centre, Melbourne, Australia",,,,,,,,13,"Cardinia Cultural Centre, Melbourne, Australia","Cardinia Cultural Centre, Lakeside Boulevard, Pakenham, Melbourne, Shire of Cardinia, Victoria, 3810, Australia","(-38.0656552, 145.4529835398374, 0.0)",-38.0656552,145.4529835,0,"Cardinia Cultural Centre, Melbourne, Australia","Cardinia Cultural Centre, Lakeside Boulevard, Pakenham, Melbourne, Shire of Cardinia, Victoria, 3810, Australia","(-38.0656552, 145.4529835398374, 0.0)",-38.0656552,145.4529835,0,Same match for venue and address.,,,
8,8,878-880 Maroondah Hwy,Coldstream VIC 3770,Australia,"Rochford Winery, Coldstream, Australia",,,Rochfort Estate Wines,,,1,,95,878-880 Maroondah Hwy Coldstream VIC 3770 Australia,"Maroondah Highway, Coldstream, Melbourne, Shire of Yarra Ranges, Victoria, 3770, Australia","(-37.7084931, 145.4027012, 0.0)",-37.7084931,145.4027012,0,"Rochford Winery, Coldstream, Australia","Rochford Winery, Maroondah Highway, Coldstream, Melbourne, Shire of Yarra Ranges, Victoria, 3777, Australia","(-37.6861965, 145.4743071, 0.0)",-37.6861965,145.4743071,0,Address match and venue match found but they conflict. Choose the most accurate.,,,
252,252,1068 High St,Armadale VIC 3143,Australia,"Armadale Hotel, Melbourne, Australia",,,Armidale Hotel,,,1,,97,1068 High St Armadale VIC 3143 Australia,"High Street, Armadale, Melbourne, City of Stonnington, Victoria, 3143, Australia","(-37.8552822, 145.0190529, 0.0)",-37.8552822,145.0190529,0,"Armadale Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
104,104,1 Victor Rd,Bentleigh East VIC 3165,Australia,"Caravan Music Club, Melbourne, Australia",,,,,,1,,178,1 Victor Rd Bentleigh East VIC 3165 Australia,"South Oakleigh Club, 1, Victor Road, Bentleigh East, Melbourne, City of Glen Eira, Victoria, 3165, Australia","(-37.9319183, 145.07759154683967, 0.0)",-37.9319183,145.0775915,0,"Caravan Music Club, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
