,Unnamed: 0,0,1,2,Venue,Opened,Info,Also known as,Closed,Open,address_freq,inconsistent,venue_freq,address_prompt,location,point,latitude,longitude,altitude,address_prompt2,location2,point2,latitude2,longitude2,altitude2,is_problem,Lat,Long,Side of River
32,32,1 Davey St,Frankston VIC 3199,Australia,"Pier Bandroom, Melbourne, Australia",,,,,,1,,18,1 Davey St Frankston VIC 3199 Australia,"Davey Street, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia","(-38.1473667, 145.1247225, 0.0)",-38.1773898,145.152831,0,"Pier Bandroom, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
72,72,508 Nepean Hwy,Frankston VIC 3199,Australia,"Pier Hotel, Melbourne, Australia",,The upstairs room was known as 21st Century Dance Club from approximately 1987 to 2007/early 2008,"Frankston, ",,,2,TRUE,154,508 Nepean Hwy Frankston VIC 3199 Australia,"Flannigans, 508, Nepean Highway, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia","(-38.1449481, 145.119855, 0.0)",-38.1448498,145.1199899,0,"Pier Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
235,235,508 Nepean Hwy,Frankston VIC 3199,Australia,"21st Century Dance Club, Melbourne, Australia",,Located upstairs at the Pier Hotel,,,,2,TRUE,51,508 Nepean Hwy Frankston VIC 3199 Australia,"Flannigans, 508, Nepean Highway, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia","(-38.1449481, 145.119855, 0.0)",-38.1448498,145.1199899,0,"21st Century Dance Club, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
300,300,27-37 Davey St,Frankston VIC 3199,Australia,"Bananas, Melbourne, Australia",,,Frankston Performing Arts Centre,,,2,FALSE,47,27-37 Davey St Frankston VIC 3199 Australia,"Frankston Arts Centre, 27-37, Davey Street, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia","(-38.14614695, 145.12326813392298, 0.0)",-38.146147,145.1232681,0,"Bananas, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
183,183,150 Eltham-Yarra Glen Road,Kangaroo Ground VIC 3097,Australia,"Wellers of Kangaroo Ground, Kangaroo Ground, Australia",,,"Weller's, ",2015,,1,,48,150 Eltham-Yarra Glen Road Kangaroo Ground VIC 3097 Australia,"Fondata, 150, Eltham-Yarra Glen Road, Kangaroo Ground, Melbourne, Shire of Nillumbik, Victoria, 3097, Australia","(-37.7021618, 145.21267029194445, 0.0)",-37.7018128,145.2128957,0,"Wellers of Kangaroo Ground, Kangaroo Ground, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
290,290,299 High St,Kew VIC 3101,Australia,"Prospect Hill Hotel, Melbourne, Australia",,,Warehouse Rock,,,1,,95,299 High St Kew VIC 3101 Australia,,,,,,"Prospect Hill Hotel, Melbourne, Australia",,,,,,No geocodes found.,-37.8049426,145.035393,North
20,20,125 Swanston St,Melbourne VIC 3000,Australia,"Max Watt's House of Music, Melbourne, Australia",30-Mar-15,Previously known as The Hi-Fi,,,,1,,271,125 Swanston St Melbourne VIC 3000 Australia,"Century Building, 125, Swanston Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8147557, 144.9659879, 0.0)",-37.8147557,144.9659879,0,"Max Watt's House of Music, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
33,33,238 Victoria St,Melbourne VIC 3000,Australia,"The Last Chance Rock & Roll Bar, Melbourne, Australia",,,,,,2,FALSE,35,238 Victoria St Melbourne VIC 3000 Australia,,,,,,"The Last Chance Rock & Roll Bar, Melbourne, Australia",,,,,,No geocodes found.,-37.8059249,144.9585961,
48,48,"Building 16, 336/348 Swanston St",Melbourne VIC 3000,Australia,"Storey Hall, RMIT, Melbourne, Australia",,,Story Hall,,,1,,30,"Building 16, 336/348 Swanston St Melbourne VIC 3000 Australia",,,,,,"Storey Hall, RMIT, Melbourne, Australia",,,,,,No geocodes found.,-37.8091104,144.9638974,
53,53,154 Flinders St,Melbourne VIC 3000,Australia,"The Forum II, Melbourne, Australia",,Located upstairs from the Forum Theatre,Upstairs 2,,,3,TRUE,47,154 Flinders St Melbourne VIC 3000 Australia,"The Forum, 154, Flinders Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.816565, 144.96947, 0.0)",-37.8166137,144.969582,0,"The Forum II, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
70,70,"Level 2, Curtin House, 252 Swanston St",Melbourne VIC 3000,Australia,"The Toff in Town, Melbourne, Australia",,,,,,1,,256,"Level 2, Curtin House, 252 Swanston St Melbourne VIC 3000 Australia",,,,,,"The Toff in Town, Melbourne, Australia",,,,,,No geocodes found.,-37.8119796,144.9652121,
74,74,188 Collins Street,Melbourne VIC 3000,Australia,"The Athenaeum Theatre, Melbourne, Australia",1839,,Anthenaeum,,,1,,209,188 Collins Street Melbourne VIC 3000 Australia,"188, Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.814921224707405, 144.96778903597124, 0.0)",-37.8149212,144.967789,0,"The Athenaeum Theatre, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
83,83,24 Block Place,Melbourne VIC 3000,Australia,"The Basement Discs, Melbourne, Australia",,,Instore,,,1,,22,24 Block Place Melbourne VIC 3000 Australia,"Block Place, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8150816, 144.9642459, 0.0)",-37.8158677,144.9644792,0,"The Basement Discs, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
165,165,120 Collins Street,Melbourne VIC 3000,Australia,"St Michael's Church, Melbourne, Australia",,,,,,1,,12,120 Collins Street Melbourne VIC 3000 Australia,"Elements, 120, Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8139145, 144.9688622, 0.0)",-37.814098,144.9689807,0,"St Michael's Church, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
172,172,20-30 Bourke Street,Melbourne VIC 3000,Australia,"Metro Nightclub, Melbourne, Australia",,"April 1912 - 1923 Palace Theatre###1923 - 1934 The New Palace###1934 - 1940 Apollo Theatre###1940 - 1951 St James Theatre###1951 - 1974 St James Theatre & Metro###1974 - 1980 Palace Theatre###1987 - 2007 Metro Nightclub###2007 - May 2014 Palace TheatreSold in 2007 to the operators of the former The Palace Complex in St Kilda, and again became known as Palace Theatre.",Metro Theatre,,1987 - 3 December 2007,2,TRUE,124,20-30 Bourke Street Melbourne VIC 3000 Australia,"Palace Theatre, 20-30, Bourke Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.811183, 144.972166, 0.0)",-37.8113697,144.9722474,0,"Metro Nightclub, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
182,182,239 Elizabeth St,Melbourne VIC 3000,Australia,"The Hi-Fi, Melbourne, Australia",,,"Instore, ",,,1,,886,239 Elizabeth St Melbourne VIC 3000 Australia,"Elizabeth Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8103786, 144.9613079, 0.0)",-37.812955,144.9622873,0,"The Hi-Fi, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
193,193,"Village Centre, 206 Bourke St",Melbourne VIC 3000,Australia,"JB Hi-Fi - Bourke Street, Melbourne, Australia",,,Instore,,,1,,15,"Village Centre, 206 Bourke St Melbourne VIC 3000 Australia",,,,,,"JB Hi-Fi - Bourke Street, Melbourne, Australia",,,,,,No geocodes found.,-37.8128748,144.9686159,
221,221,616 Elizabeth Street,Melbourne VIC 3000,Australia,"The Arthouse, Melbourne, Australia",,,Art House Hotel,,1993 - May 2011,1,,156,616 Elizabeth Street Melbourne VIC 3000 Australia,"616, Elizabeth Street, Melbourne Innovation District, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.80390192705719, 144.9588062089721, 0.0)",-37.80390193,144.9588062,0,"The Arthouse, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
254,254,298 Flinders Ln,Melbourne VIC 3000,Australia,"The 9th Ward, Melbourne, Australia",,,The Ninth Ward,,,1,,12,298 Flinders Ln Melbourne VIC 3000 Australia,"Flinders Lane, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8171895, 144.9645279, 0.0)",-37.8171239,144.9642533,0,"The 9th Ward, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
266,266,1 Spring St,Melbourne VIC 3000,Australia,"Hard Rock Cafe, Melbourne, Australia",,"This is the 1970s venue, not the restaurant chain.",,,,1,,31,1 Spring St Melbourne VIC 3000 Australia,"1 Spring Street, 1, Spring Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.81514, 144.97403902375942, 0.0)",-37.81514,144.974039,0,"Hard Rock Cafe, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
285,285,Batman Avenue and Olympic Boulevard,Melbourne VIC 3000,Australia,"Countdown, Melbourne, Australia",11-Jan-00,Located at Melbourne Park,Rod Laver Arena at Melbourne Park,,,3,TRUE,74,Batman Avenue and Olympic Boulevard Melbourne VIC 3000 Australia,,,,,,"Countdown, Melbourne, Australia",,,,,,No geocodes found.,,,
312,312,Exhibition St,Melbourne VIC 3000,Australia,"Teazer, Melbourne, Australia",,,Teasers,,,1,,21,Exhibition St Melbourne VIC 3000 Australia,"Exhibition Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.8080872, 144.9686766, 0.0)",-37.8156803,144.9726652,0,"Teazer, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
114,114,124 Main Street,Mornington VIC 3931,Australia,"The Grand Hotel, Mornington, Australia",,,Grand Hotel Mornington,,,2,TRUE,26,124 Main Street Mornington VIC 3931 Australia,"Main Street, Mornington, Melbourne, Shire of Mornington Peninsula, Victoria, 3931, Australia","(-38.2234819, 145.0410783, 0.0)",-38.2199618,145.0390939,0,"The Grand Hotel, Mornington, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
115,115,62 Main Street,Mornington VIC 3931,Australia,"Publican Mornington, Mornington, Australia",,,,,,1,,11,62 Main Street Mornington VIC 3931 Australia,"Main Street, Mornington, Melbourne, Shire of Mornington Peninsula, Victoria, 3931, Australia","(-38.2234819, 145.0410783, 0.0)",-38.2259445,145.0427829,0,"Publican Mornington, Mornington, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
155,155,124 Main Street,Mornington VIC 3931,Australia,"The Grand Hotel, Melbourne, Australia",,,Grand Hotel Mornington,,,2,TRUE,10,124 Main Street Mornington VIC 3931 Australia,"Main Street, Mornington, Melbourne, Shire of Mornington Peninsula, Victoria, 3931, Australia","(-38.2234819, 145.0410783, 0.0)",-38.2199618,145.0390939,0,"The Grand Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
216,216,56 Courtney St,North Melbourne VIC 3051,Australia,"The Castle Hotel, Melbourne, Australia",,,,,,1,,13,56 Courtney St North Melbourne VIC 3051 Australia,"Courtney Street, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia","(-37.8018894, 144.9537525, 0.0)",-37.8008617,144.9529659,0,"The Castle Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
299,299,482 Victoria St,North Melbourne VIC 3051,Australia,"Carnaby Inn, Melbourne, Australia",,,The Carnaby Inn Hotel,,,1,,19,482 Victoria St North Melbourne VIC 3051 Australia,"Victoria Street, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia","(-37.8051084, 144.949423, 0.0)",-37.8050049,144.9501652,0,"Carnaby Inn, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
278,278,1 Cramer St,Preston VIC 3072,Australia,"Council Club Hotel, Melbourne, Australia",,Later known as Cramer's Hotel,"Cramer's Hotel, ",,,1,,71,1 Cramer St Preston VIC 3072 Australia,"Cramer Street, Preston, Melbourne, City of Darebin, Victoria, 3072, Australia","(-37.7401302, 145.0015194, 0.0)",-37.7404277,145.0026709,0,"Council Club Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
58,58,1 Church St,Richmond VIC 3121,Australia,"The Leadbeater Hotel, Melbourne, Australia",Dec-19,Previously known as Eureka Hotel,,,,1,,11,1 Church St Richmond VIC 3121 Australia,,,,,,"The Leadbeater Hotel, Melbourne, Australia",,,,,,No geocodes found.,-37.8279014,144.9977562,
81,81,Swan St & Coppin St,Richmond VIC 3121,Australia,"The Central Club Hotel, Melbourne, Australia",,,,,,1,,142,Swan St & Coppin St Richmond VIC 3121 Australia,,,,,,"The Central Club Hotel, Melbourne, Australia",,,,,,No geocodes found.,-37.8261057,145.0027729,
257,257,57 Swan St,Richmond VIC 3121,Australia,"The Saint Hotel, Melbourne, Australia",1871,,"Richmond, ",,,4,TRUE,10,57 Swan St Richmond VIC 3121 Australia,"Corner Hotel, 57, Swan Street, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia","(-37.82488935, 144.99266639479475, 0.0)",-37.8249169,144.9926748,0,"The Saint Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
283,283,57 Swan St,Richmond VIC 3121,Australia,"Tarmac Hotel, Melbourne, Australia",1871,,"Richmond, ",,,4,TRUE,30,57 Swan St Richmond VIC 3121 Australia,"Corner Hotel, 57, Swan Street, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia","(-37.82488935, 144.99266639479475, 0.0)",-37.8249169,144.9926748,0,"Tarmac Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
309,309,527 Bridge Rd,Richmond VIC 3121,Australia,"Tiger Lounge, Royal Oak Hotel, Melbourne, Australia",,Known as Tiger Room until 10 December 1977,Tiger Room,,October 1976 - 27 January 1979,1,,55,527 Bridge Rd Richmond VIC 3121 Australia,"Royal Oak Hotel, 527, Bridge Road, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia","(-37.819279800000004, 145.00865639262187, 0.0)",-37.8189165,145.0027388,0,"Tiger Lounge, Royal Oak Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
298,298,118 Beach Rd,Sandringham VIC 3191,Australia,"Commodore Hotel, Melbourne, Australia",,,Sandringham Commodore,,,1,,43,118 Beach Rd Sandringham VIC 3191 Australia,"Beach Road, Sandringham, Melbourne, City of Bayside, Victoria, 3191, Australia","(-37.9608126, 145.011078, 0.0)",-37.9514835,145.0035292,0,"Commodore Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
286,286,362 Frankston - Dandenong Rd,Seaford VIC 3198,Australia,"Sundowner Hotel, Melbourne, Australia",,,"Coco's, ",,,1,,12,362 Frankston - Dandenong Rd Seaford VIC 3198 Australia,"Dan Murphy's, 362, Frankston-Dandenong Road, Seaford, Melbourne, City of Frankston, Victoria, 3198, Australia","(-38.1132662, 145.1556047, 0.0)",-38.1131394,145.1557539,0,"Sundowner Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
143,143,386 Chapel St,South Yarra VIC 3141,Australia,"Chasers Nightclub, Melbourne, Australia",,,Moser Room,,,1,,31,386 Chapel St South Yarra VIC 3141 Australia,"Chapel Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia","(-37.835803, 144.9963495, 0.0)",-37.8455665,144.994176,0,"Chasers Nightclub, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
294,294,134 Toorak Rd,South Yarra VIC 3141,Australia,"Macy's, Her Majesty's Hotel, Melbourne, Australia",,,,,,1,,67,134 Toorak Rd South Yarra VIC 3141 Australia,"Toorak Road, South Yarra, Melbourne, City of Melbourne, Victoria, 3141, Australia","(-37.8382074, 144.985679, 0.0)",-37.8390454,144.9908765,0,"Macy's, Her Majesty's Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
12,12,100 St Kilda Rd,Southbank VIC 3004,Australia,"Hamer Hall, The Arts Centre, Melbourne, Australia",2004,"Previously named Melbourne Concert Hall, renamed in honour of Sir Rupert Hamer shortly after his death in 2004",Hammer Hall,,,3,TRUE,353,100 St Kilda Rd Southbank VIC 3004 Australia,"Hamer Hall, 100, St Kilda Road, Southbank, Melbourne, City of Melbourne, Victoria, 3004, Australia","(-37.8201575, 144.9679835243618, 0.0)",-37.8201575,144.9679835,0,"Hamer Hall, The Arts Centre, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
6,6,31 Sturt St,Southbank VIC 3006,Australia,"Salon, Melbourne Recital Centre, Melbourne, Australia",2009,,,,,2,TRUE,14,31 Sturt St Southbank VIC 3006 Australia,"Sturt Street, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia","(-37.8256395, 144.966792, 0.0)",-37.8238968,144.9675026,0,"Salon, Melbourne Recital Centre, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
21,21,31 Sturt St,Southbank VIC 3006,Australia,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia",2009,,,,,2,TRUE,175,31 Sturt St Southbank VIC 3006 Australia,"Sturt Street, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia","(-37.8256395, 144.966792, 0.0)",-37.8238968,144.9675026,0,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,
22,22,"Level 3, Crown Melbourne, 8 Whiteman Street",Southbank VIC 3006,Australia,"The Palms at Crown, Melbourne, Australia",,,Crown Casino,,,2,TRUE,196,"Level 3, Crown Melbourne, 8 Whiteman Street Southbank VIC 3006 Australia",,,,,,"The Palms at Crown, Melbourne, Australia",,,,,,No geocodes found.,-37.8243007,144.9568576,
9,9,88 Acland St,St Kilda VIC 3182,Australia,"Memo Music Hall, Melbourne, Australia",,,St Kilda,,,1,,91,88 Acland St St Kilda VIC 3182 Australia,"88, Acland Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8671902, 144.9786817, 0.0)",-37.8671902,144.9786817,0,"Memo Music Hall, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
25,25,29 Fitzroy St,St Kilda VIC 3182,Australia,"Prince Bandroom, Melbourne, Australia",,,"Prince Band Room, ",,,2,TRUE,348,29 Fitzroy St St Kilda VIC 3182 Australia,"Fitzroy Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8582189, 144.9801292, 0.0)",-37.8619941,144.9741339,0,"Prince Bandroom, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
38,38,112 Acland St,St Kilda VIC 3182,Australia,"Readings Bookstore, Melbourne, Australia",,,Instore,,,1,,13,112 Acland St St Kilda VIC 3182 Australia,"112, Acland Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8680756, 144.97949, 0.0)",-37.8680756,144.97949,0,"Readings Bookstore, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
56,56,11 The Esplanade,St Kilda VIC 3182,Australia,"Gershwin Room, The Esplanade Hotel, Melbourne, Australia",,,Espy,,,2,TRUE,186,11 The Esplanade St Kilda VIC 3182 Australia,"Esplanade Hotel, 11, The Esplanade, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8640582, 144.973013, 0.0)",-37.865864,144.9750196,0,"Gershwin Room, The Esplanade Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
60,60,11 The Esplanade,St Kilda VIC 3182,Australia,"The Esplanade Hotel, Melbourne, Australia",,,Espy,,,2,TRUE,408,11 The Esplanade St Kilda VIC 3182 Australia,"Esplanade Hotel, 11, The Esplanade, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8640582, 144.973013, 0.0)",-37.865864,144.9750196,0,"The Esplanade Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
156,156,29 Fitzroy St,St Kilda VIC 3182,Australia,"The Prince of Wales, Melbourne, Australia",,,"Prince Band Room, ",,,2,TRUE,404,29 Fitzroy St St Kilda VIC 3182 Australia,"Fitzroy Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8582189, 144.9801292, 0.0)",-37.8619941,144.9741339,0,"The Prince of Wales, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
195,195,221 Barkly St,St Kilda VIC 3182,Australia,"Pure Pop Records, Melbourne, Australia",,,Instore,,,1,,28,221 Barkly St St Kilda VIC 3182 Australia,"221, Barkly Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8700768, 144.980487, 0.0)",-37.8700768,144.980487,0,"Pure Pop Records, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
206,206,Lower Esplanade,St Kilda VIC 3182,Australia,"Rockwiz, Melbourne, Australia",12-Nov-27,"Not to be confused with the nearby ""Palace Entertainment Complex"" which opened in 1972 and closed in 2007 or the Palais de Danse located next door.",Theater Saint Kilda St Kilda,,,3,TRUE,11,Lower Esplanade St Kilda VIC 3182 Australia,"Lower Esplanade, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8671702, 144.9763702, 0.0)",-37.8654066,144.973438,0,"Rockwiz, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
237,237,Lower Esplanade,St Kilda VIC 3182,Australia,"The Palace Complex, Melbourne, Australia",,"Not to be confused with the nearby Palais Theatre, or the Palace Theatre on Bourke Street.",Palace Entertainment Complex St Kilda,,1972 - 12 June 2007,3,TRUE,396,Lower Esplanade St Kilda VIC 3182 Australia,"Lower Esplanade, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8671702, 144.9763702, 0.0)",-37.8654066,144.973438,0,"The Palace Complex, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
287,287,125 Fitzroy St,St Kilda VIC 3182,Australia,"Seaview Ballroom, Melbourne, Australia",,Previously known as Crystal Ballroom. Located within the Seaview Hotel.,,,11 January 1981 - November 1987,2,FALSE,80,125 Fitzroy St St Kilda VIC 3182 Australia,"Fitzroy Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8582189, 144.9801292, 0.0)",-37.859738,144.977938,0,"Seaview Ballroom, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
303,303,125 Fitzroy St,St Kilda VIC 3182,Australia,"Crystal Ballroom, Melbourne, Australia",,Later known as Seaview Ballroom. Located within the Seaview Hotel.,"Seaview Hotel, ",,3 February 1979 - 10 January 1981,2,FALSE,92,125 Fitzroy St St Kilda VIC 3182 Australia,"Fitzroy Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.8582189, 144.9801292, 0.0)",-37.859738,144.977938,0,"Crystal Ballroom, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
34,34,607 High St,Thornbury VIC 3071,Australia,"Croxton Park Hotel, Melbourne, Australia",,,"Croxton Bandroom, ",,,1,,300,607 High St Thornbury VIC 3071 Australia,"High Street, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia","(-37.7558626, 145.0010571, 0.0)",-37.7625388,144.9993461,0,"Croxton Park Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,North
124,124,445 Toorak Rd,Toorak VIC 3142,Australia,"Trak Lounge Bar, Melbourne, Australia",,,,,,1,,52,445 Toorak Rd Toorak VIC 3142 Australia,"Simply Smiles, 4/445, Toorak Road, Toorak, Melbourne, City of Stonnington, Victoria, 3142, Australia","(-37.8408224, 145.0081284, 0.0)",-37.8407602,145.0077948,0,"Trak Lounge Bar, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
245,245,179 Chapel St,Windsor VIC 3181,Australia,"Duke of Windsor Hotel, Melbourne, Australia",,,,,,1,,32,179 Chapel St Windsor VIC 3181 Australia,"Chapel Street, Windsor, Melbourne, City of Stonnington, Victoria, 3181, Australia","(-37.8540497, 144.9929549, 0.0)",-37.8519468,144.9931619,0,"Duke of Windsor Hotel, Melbourne, Australia",,,,,,"Address match, but venue no match. Check for accuracy.",,,South
39,39,,,,"Private Venue, Melbourne, Australia",,,,,,,,111,"Private Venue, Melbourne, Australia",,,,,,"Private Venue, Melbourne, Australia",,,,,,No geocodes found.,,,
41,41,,,,"Pelly Bar, Pier Hotel, Melbourne, Australia",,,,,,,,79,"Pelly Bar, Pier Hotel, Melbourne, Australia",,,,,,"Pelly Bar, Pier Hotel, Melbourne, Australia",,,,,,No geocodes found.,-38.1449684,145.1195199,
43,43,,,,"Singing Bird Studios, Melbourne, Australia",,,,,,,,10,"Singing Bird Studios, Melbourne, Australia",,,,,,"Singing Bird Studios, Melbourne, Australia",,,,,,No geocodes found.,-38.1327518,145.1276129,
46,46,,,,"Triple R Performance Space, Melbourne, Australia",,,"3RRR FM, ",,,,,47,"Triple R Performance Space, Melbourne, Australia",,,,,,"Triple R Performance Space, Melbourne, Australia",,,,,,No geocodes found.,-37.7675276,144.9800632,
57,57,,,,"St Kilda Foreshore, Melbourne, Australia",,,Saint Kilda Beach Pier,,,,,35,"St Kilda Foreshore, Melbourne, Australia",,,,,,"St Kilda Foreshore, Melbourne, Australia",,,,,,No geocodes found.,-37.8668196,144.9736994,South
62,62,,,,"Nighthawks, Melbourne, Australia",,,"Nighthawks Pub, Collingwood",,,,,24,"Nighthawks, Melbourne, Australia",,,,,,"Nighthawks, Melbourne, Australia",,,,,,No geocodes found.,-37.8,144.98333,North
63,63,,,,"Palladium at Crown, Melbourne, Australia",,,Crown Casino,,,,,41,"Palladium at Crown, Melbourne, Australia",,,,,,"Palladium at Crown, Melbourne, Australia",,,,,,No geocodes found.,-37.8233317,144.9582858,
78,78,,,,"Plaza Tavern, Melbourne, Australia",,,,,,,,10,"Plaza Tavern, Melbourne, Australia",,,,,,"Plaza Tavern, Melbourne, Australia",,,,,,No geocodes found.,-37.8776453,144.6830132,
79,79,,,,"Melton Macs Hotel, Melbourne, Australia",,,,,,,,13,"Melton Macs Hotel, Melbourne, Australia",,,,,,"Melton Macs Hotel, Melbourne, Australia",,,,,,No geocodes found.,-37.68296,144.582747,
82,82,,,,"Bird's Basement Jazz Club, Melbourne, Australia",,,,,,,,62,"Bird's Basement Jazz Club, Melbourne, Australia",,,,,,"Bird's Basement Jazz Club, Melbourne, Australia",,,,,,No geocodes found.,-37.8112608,144.9564788,North
86,86,,,,"The Burvale Hotel, Melbourne, Australia",,,,,,,,15,"The Burvale Hotel, Melbourne, Australia",,,,,,"The Burvale Hotel, Melbourne, Australia",,,,,,No geocodes found.,-37.8538928,145.1706325,
87,87,,,,"Bang Nightclub, Melbourne, Australia",,,Bang!,,,,,30,"Bang Nightclub, Melbourne, Australia",,,,,,"Bang Nightclub, Melbourne, Australia",,,,,,No geocodes found.,-37.8455693,144.9794198,
88,88,,,,"Wrangler Studios, Melbourne, Australia",,,,,,,,66,"Wrangler Studios, Melbourne, Australia",,,,,,"Wrangler Studios, Melbourne, Australia",,,,,,No geocodes found.,-37.8112634,144.8640866,
90,90,,,,"Playhouse, The Arts Centre, Melbourne, Australia",,,,,,,,27,"Playhouse, The Arts Centre, Melbourne, Australia",,,,,,"Playhouse, The Arts Centre, Melbourne, Australia",,,,,,No geocodes found.,-37.821852,144.968341,
