year,male,female,data_source
1951,218.0,160.0,DAAO
1952,218.0,154.0,DAAO
1953,216.0,155.0,DAAO
1954,216.0,157.0,DAAO
1955,224.0,157.0,DAAO
1956,221.0,155.0,DAAO
1957,206.0,150.0,DAAO
1958,208.0,150.0,DAAO
1959,203.0,145.0,DAAO
1960,211.0,136.0,DAAO
1961,205.0,126.0,DAAO
1962,208.0,123.0,DAAO
1963,208.0,122.0,DAAO
1964,208.0,120.0,DAAO
1965,199.0,116.0,DAAO
1966,198.0,112.0,DAAO
1967,197.0,113.0,DAAO
1968,197.0,111.0,DAAO
1969,198.0,108.0,DAAO
1970,206.0,115.0,DAAO
1971,202.0,111.0,DAAO
1972,205.0,113.0,DAAO
1973,204.0,112.0,DAAO
1974,204.0,109.0,DAAO
1975,204.0,109.0,DAAO
1976,207.0,102.0,DAAO
1977,208.0,104.0,DAAO
1978,208.0,105.0,DAAO
1979,210.0,111.0,DAAO
1980,218.0,121.0,DAAO
1981,211.0,115.0,DAAO
1982,211.0,112.0,DAAO
1983,208.0,112.0,DAAO
1984,205.0,116.0,DAAO
1985,214.0,119.0,DAAO
1986,252.0,129.0,DAAO
1987,251.0,134.0,DAAO
1988,251.0,144.0,DAAO
1989,232.0,141.0,DAAO
1990,233.0,145.0,DAAO
1991,220.0,142.0,DAAO
1992,218.0,144.0,DAAO
1993,212.0,139.0,DAAO
1994,211.0,137.0,DAAO
1995,205.0,137.0,DAAO
1996,190.0,132.0,DAAO
1997,187.0,128.0,DAAO
1998,181.0,132.0,DAAO
1999,178.0,134.0,DAAO
2000,168.0,131.0,DAAO
2001,154.0,119.0,DAAO
2002,145.0,111.0,DAAO
2003,135.0,104.0,DAAO
2004,127.0,99.0,DAAO
2005,127.0,98.0,DAAO
2006,118.0,93.0,DAAO
2007,51.0,35.0,DAAO
2008,42.0,27.0,DAAO
2009,35.0,23.0,DAAO
2010,33.0,20.0,DAAO
2011,29.0,19.0,DAAO
2012,23.0,14.0,DAAO
2013,15.0,12.0,DAAO
2014,13.0,9.0,DAAO
2015,8.0,8.0,DAAO
2016,6.0,8.0,DAAO
2017,5.0,7.0,DAAO
2018,3.0,5.0,DAAO
2019,2.0,5.0,DAAO
